-56524.9210800703	  inf
-39061.3266372965	3.08954e-01
-38481.4340547609	1.48457e-02
-37374.0561521272	2.87769e-02
-36420.8334267523	2.55049e-02
-35834.4286089132	1.61008e-02
-35536.7931561905	8.30585e-03
-35375.6797829777	4.53371e-03
-35293.1750360668	2.33224e-03
-35249.3709504701	1.24115e-03
-35225.4079559478	6.79813e-04
-35210.6291374706	4.19550e-04
-35200.0008176886	3.01850e-04
-35191.6312050026	2.37773e-04
-35186.2500103601	1.52911e-04
-35182.2825489943	1.12756e-04
-35179.6362069172	7.52180e-05
